seed,correct,ce,events,p0,p1,N0,N1,outcome
1,3,0.635079,5,4,2,0.008066,0.858576,stuck
2,4,0.000068,0,1,1,1.921734,3.174500,solved
3,1,0.654947,5,1,4,1.821962,0.502959,stuck
5,4,0.000064,0,1,1,2.518771,2.911335,solved
7,4,0.000065,0,1,1,3.130527,2.470861,solved
11,4,0.000066,0,1,1,2.914676,0.582809,solved
13,3,0.635046,6,1,4,1.045579,0.010792,stuck
17,4,0.000067,0,1,1,3.097966,1.886732,solved
19,4,0.000066,0,1,1,3.036773,0.727227,solved
23,3,0.635047,3,4,1,0.005214,0.342816,stuck
