seed,epoch,entry,prevP,newP,normBefore,normAfter,sq0_at,sq1_at,sq2_at,sq3_at
2,1750,0,1,2,-1.86225872e-03,2.95369492e-01,1.27730383e+00,6.25886042e-01,2.73774343e-01,1.39647710e+00
5,1811,6,1,2,-3.91959138e-04,2.33907481e-01,2.72745740e-01,-2.46337105e-02,1.36535181e-01,-2.38216628e-01
19,1043,6,1,2,-1.01937490e-04,1.62557801e-01,2.07070608e-01,1.77674458e-01,-3.47151060e-02,2.70819587e-01
19,1230,5,1,2,-4.87113019e-05,1.67566314e-01,1.03056270e-01,-6.48312030e-02,7.58621244e-02,-9.54847059e-02
19,1877,0,1,2,-1.02083345e-05,2.89169647e-01,2.79257260e-01,7.12150701e-02,2.69382123e-01,-1.02467962e-01
