seed,correct,ce,events,p0,p1,N0,N1,outcome
1,2,0.693151,0,1,1,0.357409,0.147608,stuck
2,2,0.693148,0,1,1,0.325353,0.284100,stuck
3,2,0.693158,0,1,1,0.290375,0.322040,stuck
5,2,0.693164,0,1,1,0.167458,0.304783,stuck
7,2,0.693150,0,1,1,0.172564,0.263014,stuck
11,2,0.693149,0,1,1,0.216731,0.153218,stuck
13,2,0.693148,0,1,1,0.292124,0.167156,stuck
17,2,0.693161,0,1,1,0.217255,0.262731,stuck
19,2,0.693169,0,1,1,0.186905,0.116600,stuck
23,2,0.693149,0,1,1,0.354759,0.183105,stuck
