seed,epoch,entry,prevP,newP,normBefore,normAfter,sq0_at,sq1_at,sq2_at,sq3_at
1,316,1,1,2,-1.40132417e-06,3.45719667e-01,5.62975485e-01,-9.59806319e-01,4.42847997e-01,1.02081175e+00
3,94,1,1,2,-1.35803908e-03,1.86864079e-01,3.67951858e-01,4.98805654e-02,3.54802436e-01,-1.15541814e-01
3,131,3,1,2,-2.00535425e-04,3.46071797e-01,1.80037395e-01,6.36897318e-03,9.00159595e-02,-1.56689788e-01
11,91,1,1,2,-7.35612363e-03,1.98681442e-01,4.71864467e-01,4.53401717e-01,-6.44540306e-01,1.41961651e-01
11,132,3,1,2,-1.22639883e-03,1.89742911e-01,8.76835088e-01,1.78505234e-01,8.26884811e-01,3.43790340e-01
11,168,2,1,2,-1.72303670e-03,2.22208479e-01,7.31683208e-01,6.27544971e-01,-9.56978881e-01,1.22831045e-01
17,101,0,1,2,-3.33607269e-04,2.89222009e-01,2.15867463e-01,1.61008041e-01,-3.52729094e-02,2.67603774e-01
19,64,3,1,2,-3.68717130e-03,2.74805955e-01,2.42012750e-01,9.58265908e-02,5.67325333e-02,-2.61192453e-01
19,74,0,1,2,-1.54517615e-03,2.89169647e-01,2.90404403e-01,-2.53370058e-03,1.74324546e-01,-2.35578577e-01
