seed,correct,ce,events,p0,p1,N0,N1,outcome
1,4,0.000012,0,1,1,3.820282,2.544786,solved
2,4,0.000019,0,1,1,3.051260,1.625743,solved
3,4,0.000010,0,1,1,2.351191,2.463367,solved
5,2,0.693149,0,1,1,0.131917,0.262030,stuck
7,4,0.000019,0,1,1,2.528400,3.049457,solved
11,4,0.000015,0,1,1,2.459792,2.536393,solved
13,4,0.000009,0,1,1,2.940096,2.259068,solved
17,4,0.000008,0,1,1,2.333282,2.414862,solved
19,4,0.000008,0,1,1,2.365441,2.629459,solved
23,4,0.000011,0,1,1,2.230563,2.763857,solved
